IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Dynamic Execution,Masked%,Crash%
4010b2,xmm1,254871385,782,masked,<lud_omp._omp_fn.1>,subss,"subss, %xmm0,%xmm1",1,0,94.148065,81.59509202453988,18.404907975460123
4010a9,xmm0,254944254,617,masked,<lud_omp._omp_fn.1>,mulss,"mulss, (%rdx),%xmm0",1,0,94.174995,81.48148148148148,18.51851851851852
401182,xmm1,255015369,523,masked,<lud_omp._omp_fn.0>,subss,"subss, %xmm0,%xmm1",1,0,94.201277,81.36645962732919,18.633540372670808
401180,rflags,255039449,756,masked,<lud_omp._omp_fn.0>,cmp,"cmp, %eax,%ebx",1,0,94.210176,81.25,18.75
401180,rflags,255130084,125,masked,<lud_omp._omp_fn.0>,cmp,"cmp, %eax,%ebx",1,0,94.243672,81.13207547169812,18.867924528301888
4010ad,rdx,255263369,490,masked,<lud_omp._omp_fn.1>,add,"add, %rsi,%rdx",1,0,94.29293,81.0126582278481,18.9873417721519
4010a5,rax,255668392,445,masked,<lud_omp._omp_fn.1>,add,"add, $0x1,%rax",1,0,94.442614,81.52866242038216,18.471337579617835
401182,xmm1,256956330,309,masked,<lud_omp._omp_fn.0>,subss,"subss, %xmm0,%xmm1",1,0,94.918596,82.05128205128206,17.94871794871795
4010a9,xmm0,257177097,311,masked,<lud_omp._omp_fn.1>,mulss,"mulss, (%rdx),%xmm0",1,0,95.000185,81.93548387096774,18.06451612903226
4010b0,rflags,257228247,144,masked,<lud_omp._omp_fn.1>,cmp,"cmp, %eax,%ebx",1,0,95.019088,81.81818181818181,18.181818181818183
401180,rflags,257277712,553,masked,<lud_omp._omp_fn.0>,cmp,"cmp, %eax,%ebx",1,0,95.037369,81.69934640522875,18.30065359477124
401180,rflags,257287118,154,masked,<lud_omp._omp_fn.0>,cmp,"cmp, %eax,%ebx",1,0,95.040845,81.57894736842105,18.42105263157895
401170,xmm0,257659737,396,masked,<lud_omp._omp_fn.0>,movss,"movss, (%rcx,%rax,4),%xmm0",1,0,95.178554,81.45695364238411,18.543046357615893
4010ad,rdx,257892997,2,crash,<lud_omp._omp_fn.1>,add,"add, %rsi,%rdx",0,1,95.264759,81.33333333333333,18.666666666666668
4010a9,xmm0,257905216,198,masked,<lud_omp._omp_fn.1>,mulss,"mulss, (%rdx),%xmm0",1,0,95.269275,81.20805369127517,18.79194630872483
