IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Dynamic Execution,Masked%,Crash%
4009b1,rcx,18052497,12477,crash,<_Z8BFSGraphiPPc>,mov,"mov, 0x8(%rsp),%rcx",0,1,7.545077,47.76119402985075,52.23880597014925
400990,r12,18059226,4832,crash,<_Z8BFSGraphiPPc>,add,"add, $0x1,%r12d",0,1,7.547895,47.76119402985075,52.23880597014925
400989,rax,18059511,6548,masked,<_Z8BFSGraphiPPc>,xor,"xor, %eax,%eax",1,0,7.548014,47.2636815920398,52.7363184079602
4009c1,rflags,18079254,12163,masked,<_Z8BFSGraphiPPc>,cmp,"cmp, %r12d,0x28(%rsp)",1,0,7.556283,47.76119402985075,52.23880597014925
400990,r12,18099695,464,masked,<_Z8BFSGraphiPPc>,add,"add, $0x1,%r12d",1,0,7.564843,47.76119402985075,52.23880597014925
4009b1,rcx,18125388,10851,masked,<_Z8BFSGraphiPPc>,mov,"mov, 0x8(%rsp),%rcx",1,0,7.575603,47.76119402985075,52.23880597014925
4009a0,rdx,18133276,12137,crash,<_Z8BFSGraphiPPc>,lea,"lea, 0x3c(%rsp),%rdx",0,1,7.578906,47.76119402985075,52.23880597014925
4009a0,rdx,18160615,4701,masked,<_Z8BFSGraphiPPc>,lea,"lea, 0x3c(%rsp),%rdx",1,0,7.590355,47.76119402985075,52.23880597014925
4009ba,rcx,18165287,8649,crash,<_Z8BFSGraphiPPc>,add,"add, $0x4,%rcx",0,1,7.592312,47.2636815920398,52.7363184079602
400984,rsi,18166422,7053,crash,<_Z8BFSGraphiPPc>,mov,"mov, $0x400ca3,%esi",0,1,7.592787,47.2636815920398,52.7363184079602
4009b6,rax,18191442,5989,masked,<_Z8BFSGraphiPPc>,mov,"mov, 0x38(%rsp),%eax",1,0,7.603265,47.76119402985075,52.23880597014925
400984,rsi,18233307,14838,crash,<_Z8BFSGraphiPPc>,mov,"mov, $0x400ca3,%esi",0,1,7.620798,47.76119402985075,52.23880597014925
4009a0,rdx,18291421,11636,masked,<_Z8BFSGraphiPPc>,lea,"lea, 0x3c(%rsp),%rdx",1,0,7.645135,47.2636815920398,52.7363184079602
400999,rdi,18296204,10740,crash,<_Z8BFSGraphiPPc>,mov,"mov, 0x2016e0(%rip),%rdi",0,1,7.647138,47.2636815920398,52.7363184079602
4009a7,rsi,18307608,9222,crash,<_Z8BFSGraphiPPc>,mov,"mov, $0x400ca3,%esi",0,1,7.651914,46.766169154228855,53.233830845771145
4009b1,rcx,18311158,14328,crash,<_Z8BFSGraphiPPc>,mov,"mov, 0x8(%rsp),%rcx",0,1,7.653401,47.2636815920398,52.7363184079602
4009ba,rcx,18323276,8041,crash,<_Z8BFSGraphiPPc>,add,"add, $0x4,%rcx",0,1,7.658476,47.2636815920398,52.7363184079602
4009a0,rdx,18323622,8004,crash,<_Z8BFSGraphiPPc>,lea,"lea, 0x3c(%rsp),%rdx",0,1,7.658621,47.2636815920398,52.7363184079602
400990,r12,18333045,9689,crash,<_Z8BFSGraphiPPc>,add,"add, $0x1,%r12d",0,1,7.662567,47.2636815920398,52.7363184079602
400989,rax,18340701,4451,masked,<_Z8BFSGraphiPPc>,xor,"xor, %eax,%eax",1,0,7.665773,47.2636815920398,52.7363184079602
4009a0,rdx,18348127,10435,crash,<_Z8BFSGraphiPPc>,lea,"lea, 0x3c(%rsp),%rdx",0,1,7.668883,47.2636815920398,52.7363184079602
