IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Dynamic Execution,Masked%,Crash%
40c909,rax,256315528,11533,crash,<_ZN6miniFE8cg_solveINS_9CSRMatrixIdiiEENS_6VectorIdiiEENS_10matvec_stdIS2_S4_EEEEvRT_RKT0_RS9_T1_NS7_16LocalOrdinalTypeERNS_10TypeTraitsINS7_10ScalarTypeEE14magnitude_typeERSE_SJ_Pd>,add,"add, $0x4,%rax",0,1,94.933151,73.6318407960199,26.3681592039801
40c904,xmm0,256331557,7180,masked,<_ZN6miniFE8cg_solveINS_9CSRMatrixIdiiEENS_6VectorIdiiEENS_10matvec_stdIS2_S4_EEEEvRT_RKT0_RS9_T1_NS7_16LocalOrdinalTypeERNS_10TypeTraitsINS7_10ScalarTypeEE14magnitude_typeERSE_SJ_Pd>,movsd,"movsd, (%rsi,%rax,2),%xmm0",1,0,94.939088,73.6318407960199,26.3681592039801
40c904,xmm0,256339946,4284,masked,<_ZN6miniFE8cg_solveINS_9CSRMatrixIdiiEENS_6VectorIdiiEENS_10matvec_stdIS2_S4_EEEEvRT_RKT0_RS9_T1_NS7_16LocalOrdinalTypeERNS_10TypeTraitsINS7_10ScalarTypeEE14magnitude_typeERSE_SJ_Pd>,movsd,"movsd, (%rsi,%rax,2),%xmm0",1,0,94.942195,73.6318407960199,26.3681592039801
40c915,xmm1,256340150,8257,masked,<_ZN6miniFE8cg_solveINS_9CSRMatrixIdiiEENS_6VectorIdiiEENS_10matvec_stdIS2_S4_EEEEvRT_RKT0_RS9_T1_NS7_16LocalOrdinalTypeERNS_10TypeTraitsINS7_10ScalarTypeEE14magnitude_typeERSE_SJ_Pd>,addsd,"addsd, %xmm0,%xmm1",1,0,94.942271,73.6318407960199,26.3681592039801
40c904,xmm0,256343743,4839,masked,<_ZN6miniFE8cg_solveINS_9CSRMatrixIdiiEENS_6VectorIdiiEENS_10matvec_stdIS2_S4_EEEEvRT_RKT0_RS9_T1_NS7_16LocalOrdinalTypeERNS_10TypeTraitsINS7_10ScalarTypeEE14magnitude_typeERSE_SJ_Pd>,movsd,"movsd, (%rsi,%rax,2),%xmm0",1,0,94.943602,73.6318407960199,26.3681592039801
40c904,xmm0,256347624,5059,masked,<_ZN6miniFE8cg_solveINS_9CSRMatrixIdiiEENS_6VectorIdiiEENS_10matvec_stdIS2_S4_EEEEvRT_RKT0_RS9_T1_NS7_16LocalOrdinalTypeERNS_10TypeTraitsINS7_10ScalarTypeEE14magnitude_typeERSE_SJ_Pd>,movsd,"movsd, (%rsi,%rax,2),%xmm0",1,0,94.945039,73.13432835820896,26.865671641791046
40c904,xmm0,256380385,2646,masked,<_ZN6miniFE8cg_solveINS_9CSRMatrixIdiiEENS_6VectorIdiiEENS_10matvec_stdIS2_S4_EEEEvRT_RKT0_RS9_T1_NS7_16LocalOrdinalTypeERNS_10TypeTraitsINS7_10ScalarTypeEE14magnitude_typeERSE_SJ_Pd>,movsd,"movsd, (%rsi,%rax,2),%xmm0",1,0,94.957174,72.636815920398,27.36318407960199
40c915,xmm1,256403759,2,masked,<_ZN6miniFE8cg_solveINS_9CSRMatrixIdiiEENS_6VectorIdiiEENS_10matvec_stdIS2_S4_EEEEvRT_RKT0_RS9_T1_NS7_16LocalOrdinalTypeERNS_10TypeTraitsINS7_10ScalarTypeEE14magnitude_typeERSE_SJ_Pd>,addsd,"addsd, %xmm0,%xmm1",1,0,94.965832,72.636815920398,27.36318407960199
40c900,rdx,256421444,1829,crash,<_ZN6miniFE8cg_solveINS_9CSRMatrixIdiiEENS_6VectorIdiiEENS_10matvec_stdIS2_S4_EEEEvRT_RKT0_RS9_T1_NS7_16LocalOrdinalTypeERNS_10TypeTraitsINS7_10ScalarTypeEE14magnitude_typeERSE_SJ_Pd>,movslq,"movslq, (%rcx,%rax,1),%rdx",0,1,94.972383,72.13930348258707,27.860696517412936
40c90d,rflags,256421652,342,masked,<_ZN6miniFE8cg_solveINS_9CSRMatrixIdiiEENS_6VectorIdiiEENS_10matvec_stdIS2_S4_EEEEvRT_RKT0_RS9_T1_NS7_16LocalOrdinalTypeERNS_10TypeTraitsINS7_10ScalarTypeEE14magnitude_typeERSE_SJ_Pd>,cmp,"cmp, %r8,%rax",1,0,94.97246,72.13930348258707,27.860696517412936
