IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Dynamic Execution,Masked%,Crash%
400daa,rcx,50761492,2568,crash,<bpnn_layerforward._omp_fn.0>,cmp,"cmp, %eax,%ecx",0,1,24.774607,62.6865671641791,37.3134328358209
4012e7,xmm0,50769290,3179,masked,<bpnn_create>,add,"add, $0x1,%rcx",1,0,24.778416,62.6865671641791,37.3134328358209
400ff5,xmm1,50878696,2079,crash,<bpnn_randomize_weights>,cmp,"cmp, %ebx,%r12d",0,1,24.831846,62.18905472636816,37.81094527363184
400fe4,rcx,50933591,2128,masked,<bpnn_randomize_weights>,lea,"lea, (%rax,%rbx,4),%rbp",1,0,24.858655,62.18905472636816,37.81094527363184
4012e7,rax,50995432,1182,masked,<bpnn_create>,add,"add, $0x1,%rcx",1,0,24.888856,62.6865671641791,37.3134328358209
400fe8,rax,51037473,1402,masked,<bpnn_randomize_weights>,add,"add, $0x1,%rbx",1,0,24.909387,62.6865671641791,37.3134328358209
400fe0,rcx,51143507,2808,masked,<bpnn_randomize_weights>,mov,"mov, (%r15,%r14,8),%rax",1,0,24.961171,63.18407960199005,36.81592039800995
400cd0,rdi,51300727,2866,masked,<bpnn_adjust_weights._omp_fn.1>,cmp,"cmp, %eax,%ebx",1,0,25.037952,63.18407960199005,36.81592039800995
400fe4,rcx,51427650,3304,masked,<bpnn_randomize_weights>,lea,"lea, (%rax,%rbx,4),%rbp",1,0,25.099937,63.681592039801,36.318407960199
4012ef,rdi,51527291,935,crash,<bpnn_create>,add,"add, $0x1,%r8",0,1,25.148598,63.681592039801,36.318407960199
400fe8,rdi,51530880,1375,masked,<bpnn_randomize_weights>,add,"add, $0x1,%rbx",1,0,25.150351,63.681592039801,36.318407960199
400f10,rflags,51658481,428,crash,<alloc_1d_dbl>,push,"push, %rbx",0,1,25.212667,63.18407960199005,36.81592039800995
4012e7,rdx,51687447,3285,crash,<bpnn_create>,add,"add, $0x1,%rcx",0,1,25.226813,62.6865671641791,37.3134328358209
400fe0,rax,51792895,282,crash,<bpnn_randomize_weights>,mov,"mov, (%r15,%r14,8),%rax",0,1,25.27831,63.18407960199005,36.81592039800995
400f78,rcx,51891561,1977,masked,<alloc_2d_dbl>,xor,"xor, %eax,%eax",1,0,25.326495,63.18407960199005,36.81592039800995
4012e7,rcx,51934856,91,crash,<bpnn_create>,add,"add, $0x1,%rcx",0,1,25.347639,63.18407960199005,36.81592039800995
400fe4,rcx,51941631,1048,crash,<bpnn_randomize_weights>,lea,"lea, (%rax,%rbx,4),%rbp",0,1,25.350948,62.6865671641791,37.3134328358209
400fe0,xmm0,52056528,730,masked,<bpnn_randomize_weights>,mov,"mov, (%r15,%r14,8),%rax",1,0,25.40706,62.18905472636816,37.81094527363184
400cc2,xmm1,52061557,3197,masked,<bpnn_adjust_weights._omp_fn.1>,mov,"mov, %rsi,%rcx",1,0,25.409516,62.18905472636816,37.81094527363184
400fe8,xmm0,52095718,3224,crash,<bpnn_randomize_weights>,add,"add, $0x1,%rbx",0,1,25.426199,62.6865671641791,37.3134328358209
4012e7,rax,52122692,992,crash,<bpnn_create>,add,"add, $0x1,%rcx",0,1,25.439372,62.6865671641791,37.3134328358209
400ff1,rax,52185356,2157,crash,<bpnn_randomize_weights>,cvtsi2ss,"cvtsi2ss, %eax,%xmm0",0,1,25.469975,62.6865671641791,37.3134328358209
4012e7,rdi,52236577,1105,masked,<bpnn_create>,add,"add, $0x1,%rcx",1,0,25.49499,63.18407960199005,36.81592039800995
400daa,xmm0,52273602,393,crash,<bpnn_layerforward._omp_fn.0>,cmp,"cmp, %eax,%ecx",0,1,25.513072,63.18407960199005,36.81592039800995
