IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Dynamic Execution,Masked%,Crash%
485bed,rdx,5810253,8252,masked,,,,1,0,44.290913,37.3134328358209,59.20398009950249
461f1b,rax,5810504,3545,masked,,,,1,0,44.292827,37.81094527363184,58.70646766169154
461f4e,xmm0,5810819,10955,crash,,,,0,1,44.295229,37.81094527363184,58.70646766169154
480340,rsi,5812588,7758,crash,,,,0,1,44.308717,37.81094527363184,58.70646766169154
470120,rsi,5813909,12765,crash,,,,0,1,44.318789,38.308457711442784,58.208955223880594
470303,xmm0,5813912,4431,crash,,,,0,1,44.318812,38.308457711442784,58.208955223880594
46fd81,rax,5815518,6434,crash,,,,0,1,44.331057,38.308457711442784,58.208955223880594
47026c,rsi,5815684,4547,masked,,,,1,0,44.332323,38.308457711442784,58.208955223880594
461f3d,rdx,5816142,3691,crash,,,,0,1,44.335815,38.80597014925373,57.711442786069654
4857e0,rcx,5816406,10745,crash,,,,0,1,44.337828,38.80597014925373,57.711442786069654
470274,rax,5816449,3960,crash,,,,0,1,44.338156,38.80597014925373,57.711442786069654
481187,rflags,5816528,9850,crash,,,,0,1,44.338758,38.308457711442784,58.208955223880594
457720,rbx,5816977,4832,crash,,,,0,1,44.342182,38.308457711442784,58.208955223880594
46fced,xmm1,5817023,4719,masked,,,,1,0,44.342533,37.81094527363184,58.70646766169154
41184c,rdx,5817077,7435,masked,,,,1,0,44.342944,37.3134328358209,59.20398009950249
455ca2,rsp,5817436,14538,crash,,,,0,1,44.345682,37.81094527363184,58.70646766169154
4251b9,rdx,5817958,9842,masked,,,,1,0,44.349662,37.81094527363184,58.70646766169154
4115d6,rdx,5818171,2616,masked,,,,1,0,44.351286,38.308457711442784,58.208955223880594
456029,rax,5818181,7906,masked,,,,1,0,44.351362,38.308457711442784,58.208955223880594
46185c,xmm1,5818422,4736,masked,,,,1,0,44.3532,38.308457711442784,58.208955223880594
4266aa,rflags,5818560,2841,masked,,,,1,0,44.354252,38.308457711442784,58.208955223880594
470120,rflags,5819118,9166,sdc,,,,0,0,44.358507,38.80597014925373,57.711442786069654
461848,rflags,5819633,7256,masked,,,,1,0,44.362433,38.80597014925373,57.711442786069654
