IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Sdc,Dynamic Execution,Masked%,Crash%,Sdc%,Masked%+Sdc%
464b90,rsi,240954064,110,crash,<mkl_blas_avx512_damax>,add,"add, $0x20,%rdx",0,1,0,49.507549,26.865671641791046,8.955223880597014,64.17910447761194,91.04477611940298
a9ef43,rsp,242525402,331,crash,<mkl_blas_avx512_dtrsm_kernel_ll_0>,lea,"lea, 0x100(%rbp),%rbp",0,1,0,49.832226,26.3681592039801,8.955223880597014,64.67661691542288,91.04477611940298
afc2ca,rbx,247583551,1,crash,<mkl_blas_avx512_dgemm_kernel_0>,lea,"lea, 0x300(%rbx),%rbx",0,1,0,50.877364,26.3681592039801,8.955223880597014,64.67661691542288,91.04477611940298
474f4e,r15,254140134,93,sdc,<mkl_blas_avx512_xdgemv>,add,"add, $0x2,%r8",0,0,1,52.232115,26.865671641791046,8.955223880597014,64.17910447761194,91.04477611940298
41aa03,r11,254603291,163,sdc,<HPL_dlocswpT>,add,"add, %rax,%r12",0,0,1,52.327814,26.3681592039801,8.955223880597014,64.67661691542288,91.04477611940298
afc2d1,xmm0,260870214,356,crash,<mkl_blas_avx512_dgemm_kernel_0>,lea,"lea, 0x100(%rbp),%rbp",0,1,0,53.622714,26.865671641791046,8.955223880597014,64.17910447761194,91.04477611940298
647075,rax,262412148,121,crash,<mkl_blas_avx512_dgemm_kernel_nocopy_NT_b1>,add,"add, %r9,%rsi",0,1,0,53.941315,26.865671641791046,8.955223880597014,64.17910447761194,91.04477611940298
505dca,rbx,262709629,142,masked,<mkl_serv_lsame>,movsbl,"movsbl, (%rdi),%edi",1,0,0,54.002782,26.865671641791046,8.955223880597014,64.17910447761194,91.04477611940298
474f3f,rsi,271823311,108,masked,<mkl_blas_avx512_xdgemv>,vmovupd,"vmovupd, 0x460(%rsp,%r8,8),%xmm",1,0,0,55.885892,26.865671641791046,8.955223880597014,64.17910447761194,91.04477611940298
64623b,r8,271987506,260,masked,<mkl_blas_avx512_dgemm_kernel_nocopy_NT_b1>,lea,"lea, -0x3e8(,%rbx,4),%rbp",1,0,0,55.919819,26.865671641791046,8.457711442786069,64.67661691542288,91.54228855721394
65b72c,rdi,272367677,374,sdc,<mkl_blas_avx512_dgemm_kernel_nocopy_NT_b1>,cmpq,"cmpq, $0x10,(%rsp)",0,0,1,55.998371,26.865671641791046,8.457711442786069,64.67661691542288,91.54228855721394
414a90,rbx,272490327,10,masked,<HPL_dlatcpy>,movsd,"movsd, (%r9,%rax,2),%xmm12",1,0,0,56.023714,26.865671641791046,8.955223880597014,64.17910447761194,91.04477611940298
4174cb,rdi,272819734,101,crash,<HPL_dlaswp00N>,add,"add, %rsi,%r15",0,1,0,56.091777,26.865671641791046,8.955223880597014,64.17910447761194,91.04477611940298
42be7e,rcx,274530483,494,sdc,<HPL_lmul>,shr,"shr, $0x10,%r11d",0,0,1,56.44526,26.865671641791046,8.955223880597014,64.17910447761194,91.04477611940298
42be2a,rsi,276464658,230,masked,<HPL_ladd>,movzwl,"movzwl, %r8w,%edi",1,0,0,56.844908,26.865671641791046,8.955223880597014,64.17910447761194,91.04477611940298
42bf24,rbx,277280284,409,sdc,<HPL_lmul>,or,"or, %r9d,%r11d",0,0,1,57.013436,26.865671641791046,8.955223880597014,64.17910447761194,91.04477611940298
42be94,rax,280694276,335,masked,<HPL_lmul>,mov,"mov, -0x30(%rsp,%rcx,4),%ebx",1,0,0,57.718851,27.36318407960199,8.955223880597014,63.681592039801,91.04477611940298
42bed8,r9,280813176,340,sdc,<HPL_lmul>,add,"add, %ebx,%esi",0,0,1,57.743418,27.36318407960199,8.955223880597014,63.681592039801,91.04477611940298
42bf00,rflags,281184576,130,sdc,<HPL_lmul>,cmp,"cmp, $0x4,%rcx",0,0,1,57.820159,27.36318407960199,8.955223880597014,63.681592039801,91.04477611940298
42bf27,rbx,281717582,420,sdc,<HPL_lmul>,or,"or, %r10d,%r8d",0,0,1,57.930291,27.860696517412936,8.955223880597014,63.18407960199005,91.04477611940298
42bebc,rax,282122523,422,sdc,<HPL_lmul>,add,"add, %ebx,%esi",0,0,1,58.013961,27.860696517412936,8.955223880597014,63.18407960199005,91.04477611940298
42bdd8,rbx,284807621,298,sdc,<HPL_ladd>,mov,"mov, 0x4(%rdi),%esi",0,0,1,58.568768,27.36318407960199,8.955223880597014,63.681592039801,91.04477611940298
42bdff,rsi,286633504,345,sdc,<HPL_ladd>,add,"add, %r9d,%r11d",0,0,1,58.946041,27.36318407960199,8.955223880597014,63.681592039801,91.04477611940298
42bebc,rsi,288401609,119,sdc,<HPL_lmul>,add,"add, %ebx,%esi",0,0,1,59.311374,27.36318407960199,8.955223880597014,63.681592039801,91.04477611940298
42bea3,xmm1,288728351,311,sdc,<HPL_lmul>,mov,"mov, %esi,%edi",0,0,1,59.378887,27.36318407960199,8.457711442786069,64.17910447761194,91.54228855721394
42beb1,xmm1,292729036,55,sdc,<HPL_lmul>,mov,"mov, -0x34(%rsp,%rcx,4),%ebx",0,0,1,60.205527,27.36318407960199,8.457711442786069,64.17910447761194,91.54228855721394
42bedd,rbx,296092263,363,masked,<HPL_lmul>,shr,"shr, $0x10,%esi",1,0,0,60.900452,27.36318407960199,8.457711442786069,64.17910447761194,91.54228855721394
42be8c,rbx,296655277,469,sdc,<HPL_lmul>,mov,"mov, -0x4(%rax),%ebx",0,0,1,61.016784,27.36318407960199,8.457711442786069,64.17910447761194,91.54228855721394
42bde9,r15,296806434,150,sdc,<HPL_ladd>,shr,"shr, $0x10,%r10d",0,0,1,61.048017,26.865671641791046,8.457711442786069,64.67661691542288,91.54228855721394
42bdd2,rcx,297383856,68,sdc,<HPL_ladd>,mov,"mov, (%rdi),%r10d",0,0,1,61.167327,26.3681592039801,8.457711442786069,65.17412935323384,91.54228855721394
42bebc,rflags,299182896,118,sdc,<HPL_lmul>,add,"add, %ebx,%esi",0,0,1,61.539052,26.3681592039801,8.457711442786069,65.17412935323384,91.54228855721394
